"10,45,20 ",",606"
"10,45,21 ",",607"
"10,45,22 ",",608"
"10,45,23 ",",609"
"10,45,24 ",",610"
"10,45,25 ",",611"
"10,45,26 ",",612"
"10,45,27 ",",613"
"10,45,28 ",",614"
"10,45,29 ",",615"
"10,45,30 ",",616"
"10,45,31 ",",617"
"10,45,32 ",",618"
"10,45,33 ",",619"
"10,45,34 ",",620"
"10,45,35 ",",621"
"10,45,36 ",",622"
"10,45,37 ",",623"
"10,45,38 ",",624"
"10,45,39 ",",625"
"10,45,40 ",",626"
"10,45,41 ",",627"
"10,45,42 ",",628"
"10,45,43 ",",629"
"10,45,44 ",",630"
"10,45,45 ",",631"
"10,45,46 ",",632"
"10,45,47 ",",633"
"10,45,48 ",",634"
"10,45,49 ",",635"
"10,45,50 ",",636"
"10,45,51 ",",637"
"10,45,52 ",",638"
"10,45,53 ",",639"
"10,45,54 ",",640"
"10,45,55 ",",641"
"10,45,56 ",",642"
"10,45,57 ",",643"
"10,45,58 ",",644"
"10,45,59 ",",645"
"10,46,00 ",",646"
"10,46,01 ",",647"
"10,46,02 ",",648"
"10,46,03 ",",649"
"10,46,04 ",",650"
"10,46,05 ",",651"
"10,46,06 ",",652"
"10,46,07 ",",653"
"10,46,08 ",",654"
"10,46,09 ",",655"
"10,46,10 ",",656"
"10,46,11 ",",657"
"10,46,12 ",",658"
"10,46,13 ",",659"
"10,46,14 ",",660"
"10,46,15 ",",661"
"10,46,16 ",",662"
"10,46,17 ",",663"
"10,46,18 ",",664"
"10,46,19 ",",665"
"10,46,20 ",",666"
"10,46,21 ",",667"
"10,46,22 ",",668"
"10,46,23 ",",669"
"10,46,24 ",",670"
"10,46,25 ",",671"
"10,46,26 ",",672"
"10,46,27 ",",673"
"10,46,28 ",",674"
"10,46,29 ",",675"
"10,46,30 ",",676"
"10,46,31 ",",677"
"10,46,32 ",",678"
"10,46,33 ",",679"
"10,46,34 ",",680"
"10,46,35 ",",681"
"10,46,36 ",",682"
"10,46,37 ",",683"
"10,46,38 ",",684"
"10,46,39 ",",685"
"10,46,40 ",",686"
"10,46,41 ",",687"
"10,46,42 ",",688"
"10,46,43 ",",689"
"10,46,44 ",",690"
"10,46,45 ",",691"
"10,46,46 ",",692"
"10,46,47 ",",693"
"10,46,48 ",",694"
"10,46,49 ",",695"
"10,46,50 ",",696"
"10,46,51 ",",697"
"10,46,52 ",",698"
"10,46,53 ",",699"
"10,46,54 ",",700"
"10,46,55 ",",701"
"10,46,56 ",",702"
"10,46,57 ",",703"
"10,46,58 ",",704"
"10,46,59 ",",705"
"10,47,00 ",",706"
"10,47,01 ",",707"
"10,47,02 ",",708"
"10,47,03 ",",709"
"10,47,04 ",",710"
"10,47,05 ",",711"
"10,47,06 ",",712"
"10,47,07 ",",713"
"10,47,08 ",",714"
"10,47,09 ",",715"
"10,47,10 ",",716"
"10,47,11 ",",717"
"10,47,12 ",",718"
"10,47,13 ",",719"
"10,47,14 ",",720"
"10,47,15 ",",721"
"10,47,16 ",",722"
"10,47,17 ",",723"
"10,47,18 ",",724"
"10,47,19 ",",725"
"10,47,20 ",",726"
"10,47,21 ",",727"
"10,47,22 ",",728"
"10,47,23 ",",729"
"10,47,24 ",",730"
"10,47,25 ",",731"
"10,47,26 ",",732"
"10,47,27 ",",733"
"10,47,28 ",",734"
"10,47,29 ",",735"
"10,47,30 ",",736"
"10,47,31 ",",737"
"10,47,32 ",",738"
"10,47,33 ",",739"
"10,47,34 ",",740"
"10,47,35 ",",741"
"10,47,36 ",",742"
"10,47,37 ",",743"
"10,47,38 ",",744"
"10,47,39 ",",745"
"10,47,40 ",",746"
"10,47,41 ",",747"
"10,47,42 ",",748"
"10,47,43 ",",749"
"10,47,44 ",",750"
"10,47,45 ",",751"
"10,47,46 ",",752"
"10,47,47 ",",753"
"10,47,48 ",",754"
"10,47,49 ",",755"
"10,47,50 ",",756"
"10,47,51 ",",757"
"10,47,52 ",",758"
"10,47,53 ",",759"
"10,47,54 ",",760"
"10,47,55 ",",761"
"10,47,56 ",",762"
"10,47,57 ",",763"
"10,47,58 ",",764"
"10,47,59 ",",765"
